half_hour,freq,activity
0,0.9861451744761413,Home
1,0.989286175293662,Home
2,0.9921259842519685,Home
3,0.9939761628157137,Home
4,0.9966008347317241,Home
5,0.9983649584785509,Home
6,0.9994406436900305,Home
7,1.0,Home
8,0.9993115614646529,Home
9,0.996342670280969,Home
10,0.9884686545329375,Home
11,0.9695796222193537,Home
12,0.9270685426616755,Home
13,0.8689385138333118,Home
14,0.790456520803752,Home
15,0.6785852588098619,Home
16,0.6019964717525064,Home
17,0.5614216255754916,Home
18,0.5178348608063337,Home
19,0.48478981110967684,Home
20,0.417021642786455,Home
21,0.39395895185232993,Home
22,0.34348780172970184,Home
23,0.339185060883783,Home
24,0.3150466847381782,Home
25,0.317284109978056,Home
26,0.3058388193279119,Home
27,0.31199173873757585,Home
28,0.3143582462028312,Home
29,0.340561937954477,Home
30,0.36956241125597006,Home
31,0.4087173529538316,Home
32,0.46753582031754226,Home
33,0.5269566713996816,Home
34,0.5863344950733618,Home
35,0.6359881244352653,Home
36,0.6839636848672604,Home
37,0.7244524762273569,Home
38,0.7652854868551268,Home
39,0.7989329202702121,Home
40,0.8334409018544813,Home
41,0.8617529366206274,Home
42,0.8907534099221204,Home
43,0.9163116905468783,Home
44,0.938815025171034,Home
45,0.9539606729486683,Home
46,0.9666107310356697,Home
47,0.9790886794888344,Home
0,0.0,Work
1,0.0006619228859837829,Work
2,0.0009928843289756743,Work
3,0.0009928843289756743,Work
4,0.0009928843289756743,Work
5,0.0009928843289756743,Work
6,0.0008274036074797286,Work
7,0.0021512493794472944,Work
8,0.0031441337084229686,Work
9,0.008108555353301341,Work
10,0.017209995035578355,Work
11,0.05162998510673507,Work
12,0.12278669534999173,Work
13,0.2841303988085388,Work
14,0.42263776270064535,Work
15,0.6437200066192289,Work
16,0.8217772629488664,Work
17,0.9142809862651001,Work
18,0.9649180870428595,Work
19,0.9862651001158365,Work
20,0.9928843289756744,Work
21,1.0,Work
22,0.9920569253681946,Work
23,0.9776601025980474,Work
24,0.9506867449942081,Work
25,0.9430746318053946,Work
26,0.9351315571735893,Work
27,0.9341386728446136,Work
28,0.9104749296706933,Work
29,0.8926030117491313,Work
30,0.8257488002647692,Work
31,0.7618732417673341,Work
32,0.5829885818302167,Work
33,0.48651332119808044,Work
34,0.3561145126592752,Work
35,0.2920734734403442,Work
36,0.21016051629985108,Work
37,0.1682938937613768,Work
38,0.12295217607148767,Work
39,0.10011583650504716,Work
40,0.08042363064702962,Work
41,0.07082574880026477,Work
42,0.04699652490484858,Work
43,0.03524739367863644,Work
44,0.018699321529041867,Work
45,0.012576534833691875,Work
46,0.005129902366374318,Work
47,0.0,Work
0,0.0,School
1,0.0,School
2,0.0,School
3,0.0,School
4,0.0,School
5,0.0,School
6,0.0,School
7,0.0,School
8,0.0,School
9,0.0,School
10,0.0,School
11,0.00046146746654360867,School
12,0.0046146746654360865,School
13,0.01799723119520074,School
14,0.06045223811721274,School
15,0.3571758191047531,School
16,0.7798800184586987,School
17,0.8744808491001385,School
18,0.934010152284264,School
19,0.9686202122750346,School
20,0.9912321181356715,School
21,1.0,School
22,0.9963082602676512,School
23,0.9953853253345639,School
24,0.9723119520073835,School
25,0.9626211352099677,School
26,0.9266266728195662,School
27,0.8906322104291647,School
28,0.7784956160590678,School
29,0.6968158744808491,School
30,0.5366866635902169,School
31,0.4679280110752192,School
32,0.3308721735117674,School
33,0.2593447161975081,School
34,0.1767420396862021,School
35,0.13474850023073373,School
36,0.08860175357637287,School
37,0.05999077065066913,School
38,0.03599446239040148,School
39,0.02168897092754961,School
40,0.014766958929395477,School
41,0.011998154130133826,School
42,0.009690816797415782,School
43,0.007844946931241348,School
44,0.0046146746654360865,School
45,0.0027688047992616522,School
46,0.0013844023996308261,School
47,0.0,School
0,0.001713796058269066,Other
1,0.0021422450728363325,Other
2,0.0028563267637817767,Other
3,0.0021422450728363325,Other
4,0.0018566123964581548,Other
5,0.0014281633818908884,Other
6,0.0011425307055127106,Other
7,0.000856898029134533,Other
8,0.0012853470437017994,Other
9,0.0018566123964581548,Other
10,0.003427592116538132,Other
11,0.0075692659240217085,Other
12,0.02056555269922879,Other
13,0.04355898314767209,Other
14,0.0779777206512425,Other
15,0.1266780919737218,Other
16,0.18866038274778635,Other
17,0.25578406169665807,Other
18,0.3411882319337332,Other
19,0.4254498714652956,Other
20,0.5621251071122536,Other
21,0.6498143387603542,Other
22,0.7716366752356469,Other
23,0.8306198229077406,Other
24,0.9157383604684376,Other
25,0.9538703227649243,Other
26,0.9880034275921166,Other
27,0.9994287346472437,Other
28,1.0,Other
29,0.9828620394173093,Other
30,0.9414453013424736,Other
31,0.8998857469294488,Other
32,0.8123393316195373,Other
33,0.781348186232505,Other
34,0.7140816909454442,Other
35,0.6926592402170808,Other
36,0.638246215367038,Other
37,0.6042559268780349,Other
38,0.5245644101685233,Other
39,0.4642959154527278,Other
40,0.36503856041131105,Other
41,0.3019137389317338,Other
42,0.2095115681233933,Other
43,0.15895458440445587,Other
44,0.09825764067409312,Other
45,0.07012282205084262,Other
46,0.03141959440159954,Other
47,0.0,Other
