uid,home,dist2home_wt,home_group
b3a20b87-8b53-40bb-937f-173ea5d9dadc,2,5.00974954319595,"(4.995, 5.4]"
1f61fa94-0592-4c02-8754-d97d564aad99,3,4.939677429530611,"(4.85, 4.995]"
9bd34dc7-9946-48d0-afc8-014c94f086cb,8,4.739772593308478,"(4.706, 4.85]"
58b8c10f-6a2e-4a23-83a5-789bdbacf97f,2,4.592848767286854,"(4.558, 4.706]"
5ac23cc9-ced8-47bf-9559-9bfc37066056,1,4.511238494824209,"(4.4, 4.558]"
c0e21aaa-ce50-486e-aca6-1a62dd49dc40,1,4.273569364823101,"(4.223, 4.4]"
b9f6438a-613b-4010-86a5-7ba8d44cc3b6,6,4.206887047080172,"(4.009, 4.223]"
6758c9e9-7649-4c65-b30a-b5ebafdb7cb1,1,3.9214725893161817,"(3.712, 4.009]"
006f2528-1e1a-4695-a21c-50a66585f653,2,3.7093689440965245,"(3.198, 3.712]"
a8dbbfc3-e0cf-4c03-9004-8374540996ca,1,3.1912162173967804,"(0.852, 3.198]"
